order_id|supplier_id|supplier_name|category|region|unit_cost|quantity|order_status
PO1001|S001|NorthSteel|Raw Materials|East|50|10|delivered
PO1002|S002|PackRight|Packaging|West|5|200|pending
PO1003|S003|FastParts|Components|East|15|80|delivered
PO1004|S004|GreenSource|Raw Materials|North|-20|30|delivered
PO1005|S005|BoxPro|Packaging|South|4|0|cancelled
PO1006|S002|PackRight|Packaging|West|5|200|pending
PO1006|S002|PackRight|Packaging|West|5|200|pending
PO1007|S006|TransMove|Logistics|East|100|3|delivered
PO1008|S007||Components|West|12|50|delivered
PO1009|S008|PrimeParts|Components|South|abc|20|pending
PO1010|S009|RawHub|Raw Materials|North|60||delivered
PO1011|S010|ShipNow|Logistics|East|90|2|returned
PO1012|S011|MetalWorks|Raw Materials|East|70|5|delivered
